,precision,recall,f1-score,support
blues,0.7333333333333333,0.55,0.6285714285714286,20.0
classical,0.7894736842105263,0.9375,0.8571428571428571,16.0
country,0.6521739130434783,0.75,0.6976744186046512,20.0
disco,0.5588235294117647,0.76,0.6440677966101694,25.0
hiphop,0.7142857142857143,0.7894736842105263,0.75,19.0
jazz,0.782608695652174,0.8181818181818182,0.8,22.0
metal,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
pop,0.8947368421052632,0.7391304347826086,0.8095238095238095,23.0
reggae,0.9166666666666666,0.5238095238095238,0.6666666666666666,21.0
rock,0.5,0.5,0.5,16.0
accuracy,0.73,0.73,0.73,0.73
macro avg,0.7486546823153366,0.7312539905428921,0.7298091421564027,200.0
weighted avg,0.7496503967719812,0.73,0.7290497259605457,200.0
