,precision,recall,f1-score,support
blues,0.7564935064935064,0.7304075235109718,0.7432216905901117,319.0
classical,0.8926380368098159,0.9448051948051948,0.917981072555205,308.0
country,0.6363636363636364,0.6363636363636364,0.6363636363636364,286.0
disco,0.6411960132890365,0.6411960132890365,0.6411960132890365,301.0
hiphop,0.735593220338983,0.6977491961414791,0.7161716171617162,311.0
jazz,0.7759197324414716,0.8111888111888111,0.7931623931623931,286.0
metal,0.8220064724919094,0.8382838283828383,0.8300653594771242,303.0
pop,0.7483870967741936,0.8689138576779026,0.804159445407279,267.0
reggae,0.7074829931972789,0.6582278481012658,0.6819672131147541,316.0
rock,0.5724907063197026,0.5133333333333333,0.5413005272407733,300.0
accuracy,0.7327327327327328,0.7327327327327328,0.7327327327327328,0.7327327327327328
macro avg,0.7288571414519535,0.7340469242794471,0.7305588968362029,2997.0
weighted avg,0.7294413188730549,0.7327327327327328,0.7302341943239217,2997.0
