,precision,recall,f1-score,support
blues,0.6190476190476191,0.65,0.6341463414634146,20.0
classical,0.9285714285714286,1.0,0.9629629629629629,13.0
country,0.5925925925925926,0.5925925925925926,0.5925925925925926,27.0
disco,0.6666666666666666,0.5714285714285714,0.6153846153846154,21.0
hiphop,0.6470588235294118,0.7333333333333333,0.6875,15.0
jazz,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
metal,0.8461538461538461,0.88,0.8627450980392157,25.0
pop,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
reggae,0.5,0.43478260869565216,0.46511627906976744,23.0
rock,0.4782608695652174,0.5238095238095238,0.5,21.0
accuracy,0.685,0.685,0.685,0.685
macro avg,0.6981648549423486,0.7050282294195338,0.7003811037991997,200.0
weighted avg,0.6835636528859035,0.685,0.6831096439580578,200.0
