,precision,recall,f1-score,support
blues,0.6,0.75,0.6666666666666666,20.0
classical,0.9166666666666666,0.8461538461538461,0.88,13.0
country,0.76,0.7037037037037037,0.7307692307692307,27.0
disco,0.7222222222222222,0.6190476190476191,0.6666666666666666,21.0
hiphop,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
jazz,0.8181818181818182,0.8181818181818182,0.8181818181818182,22.0
metal,0.8461538461538461,0.88,0.8627450980392157,25.0
pop,0.6666666666666666,0.7692307692307693,0.7142857142857143,13.0
reggae,0.55,0.4782608695652174,0.5116279069767442,23.0
rock,0.5555555555555556,0.47619047619047616,0.5128205128205128,21.0
accuracy,0.71,0.71,0.71,0.71
macro avg,0.7119657301762564,0.7207435768740118,0.712846949675951,200.0
weighted avg,0.7100183535762483,0.71,0.7068285258289362,200.0
